Date,Open,High,Low,Close,Volume
2016-02-08,769.98,784.47,769.98,774.46,0
2016-02-15,779.76,779.76,775.0,779.4,0
2016-02-22,794.33,830.28,794.33,824.12,0
2016-02-29,837.19,838.25,811.09,811.09,0
2016-03-07,817.08,817.08,805.49,808.95,0
2016-03-14,809.07,809.07,789.11,789.11,0
2016-03-21,782.46,808.88,782.46,808.88,0
2016-03-28,811.57,824.36,811.57,821.97,0
2016-04-04,819.81,819.81,813.71,819.57,0
2016-04-11,814.38,825.04,814.38,823.91,0
2016-04-18,826.01,839.97,824.4,834.58,0
2016-04-25,831.59,855.74,831.09,850.96,0
2016-05-02,849.87,849.87,840.93,847.94,0
2016-05-09,840.44,842.87,787.08,787.08,0
2016-05-16,788.22,793.64,788.22,793.64,0
2016-05-23,794.7,800.28,792.87,792.87,0
2016-05-30,797.36,797.36,769.56,769.56,0
2016-06-06,770.16,774.73,764.33,764.37,0
2016-06-13,765.35,765.35,755.59,763.62,0
2016-06-20,766.41,789.15,766.41,782.57,0
2016-06-27,774.34,774.34,758.6,758.6,0
2016-07-04,757.54,758.21,752.53,752.53,0
2016-07-11,749.87,750.77,741.3,747.05,0
2016-07-18,735.19,740.26,716.31,716.31,0
2016-07-25,732.32,748.04,731.13,744.94,0
2016-08-01,745.1,750.15,741.3,750.15,0
2016-08-08,749.75,753.41,744.29,744.29,0
2016-08-15,747.15,748.34,746.31,748.34,0
2016-08-22,745.66,745.66,742.91,744.75,0
2016-08-29,746.07,748.15,744.88,748.15,0
2016-09-05,743.23,749.76,743.23,746.4,0
2016-09-12,747.4,774.7,747.4,752.37,0
2016-09-19,746.73,753.01,741.95,741.95,0
2016-09-26,746.63,746.63,742.62,743.07,0
2016-10-03,745.97,745.97,736.98,736.98,0
2016-10-10,744.26,744.26,729.85,729.85,0
2016-10-17,726.54,726.54,715.26,715.26,0
2016-10-24,695.31,721.02,695.31,721.02,0
2016-10-31,729.75,730.14,726.5,726.5,0
2016-11-07,724.99,740.41,724.99,740.41,0
